Name,Description,engunits
11BBT10CE604XQ60_I_UTGB_PI09,UTE-TRI: potência ativa instantânea trafo auxiliar 11BBT10 - consumo auxiliares TG : ponto ONS IEC104 43,MW
11BBT10CE606XQ60_I_UTGB_PI09,UTE-TRI: potência reativa instantânea trafo auxiliar 11BBT10 - consumo auxiliares TG : ponto ONS IEC104 44,MVAr
11BBT10EW801XG01_I_UTGB_PI09,UTE-TRI: status proteção relé diferencial 87 trafo auxiliar 11BBT10,none
11BBT10EW803XG01_I_UTGB_PI09,UTE-TRI: status proteção relé sobrecorrente 50 e 51 trafo auxiliar 11BBT10,none
11BBT10EW804XG01_I_UTGB_PI09,"UTE-TRI: status proteção relé sobretemperatura óleo, enrolamento e buchholz 26, 49 e 63 trafo auxiliar 11BBT10  ",none
11BBT20CE014XQ50_I_UTGB_PI09,UTE-TRI: tensão fase-fase barra 19BBA,kV
11BBT20CE102XQ50_I_UTGB_PI09,UTE-TRI: corrente fase B barra 19BBA,A
11BBT20CE604XQ60_I_UTGB_PI09,UTE-TRI: potência ativa instantânea trafo auxiliar 11BBT20 - consumo auxiliares sistema água-vapor ciclo combinado : ponto ONS IEC104 45,MW
11BBT20CE606XQ60_I_UTGB_PI09,UTE-TRI: potência reativa instantânea trafo auxiliar 11BBT20 - consumo auxiliares sistema água-vapor ciclo combinado : ponto ONS IEC104 46,MVAr
11BBT20EW801XG01_I_UTGB_PI09,UTE-TRI: status proteção relé diferencial 87 trafo auxiliar 11BBT20,none
11BBT20EW803XG01_I_UTGB_PI09,UTE-TRI: status proteção relé sobrecorrente 50 e 51 trafo auxiliar 11BBT20,none
11BBT20EW804XG01_I_UTGB_PI09,"UTE-TRI: status proteção relé sobretemperatura óleo, enrolamento e buchholz 26, 49 e 63 trafo auxiliar 11BBT20  ",none
11BBT20EW805XG01_I_UTGB_PI09,UTE-TRI: status proteção relé sobrecorrente 51N neutro trafo auxiliar 11BBT20,none
11BJA00CE201XQ60_I_UTGB_PI09,UTE-TRI: tensão da barra de auxiliares da TG11,V
11BMA00CE201XQ60_I_UTGB_PI09,UTE-TRI: tensão da barra de essenciais da TG11,V
11BRV10EA101XB01_I_UTGB_PI09,UTE-TRI: Estado Gerador diesel emergencia 4 GT11,none
11CJP10EA001_I_UTGB_PI09,UTE-TRI: tempo de purga da TG11,s
11CJP10EA021XF01_I_UTGB_PI09,UTE-TRI: posição diverter damper TG 11MB,none
11CJP10EA105XQ60_I_UTGB_PI09,UTE-TRI: velocidade instantânea eixo TG11,rpm
11CJP10EA110XQ50_I_UTGB_PI09,UTE-TRI: Temperatura dos Gases de Exaustão da TG Entrada da Caldeira,°C
11CJP10EA135XQ50_I_UTGB_PI09,UTE-TRI: vazão mássica consumo GN TG11,kg/s
11CJP10EA155XQ50_I_UTGB_PI09,UTE-TRI: potência ativa selecionada TG11,MW
11CJP10EA160XQ50_I_UTGB_PI09,UTE-TRI: carga base TG11,MW
11CJP10EA170XQ60_I_UTGB_PI09,UTE-TRI: variação potência ativa TG11,MW
11CJP10EA190XQ60_I_UTGB_PI09,UTE-TRI: gt rel pwr cmd,none
11CJP10EA920XG02_I_UTGB_PI09,UTE-TRI: diverter damper (FGDD fechado 2/3) TG-11,none
11CJP10EA923XG01_I_UTGB_PI09,UTE-TRI: diverter damper (FGDD aberto 2/3) TG-11,none
11CJP20EU500XQ60_I_UTGB_PI09,UTE-TRI: posição angular média abertura VIGV TG11,graus
11CJP20EU700XQ60_I_UTGB_PI09,UTE-TRI: Vazão de Gases de Exasutão da Turbina a Gas,kg/s
11CJP20EU705XQ60_I_UTGB_PI09,UTE-TRI: pressão gases exaustão TG11,bar
11HAC50AA152LL_I_UTGB_PI09,UTE-TRI: percentual de abertura válvula controle bypass economizador alta pressão - limite inferior caldeira 11,%
11HAC50AA152UL_I_UTGB_PI09,UTE-TRI: percentual de abertura válvula controle bypass economizador alta pressão - limite superior caldeira 11,%
11HAC50AA152XE04_I_UTGB_PI09,UTE-TRI: percentual comandado de abertura válvula controle bypass economizador alta pressão caldeira 11,%
11HAC50AA152XE05_I_UTGB_PI09,UTE-TRI: percentual de abertura válvula controle bypass economizador alta pressão em automático caldeira 11,%
11HAC50AA152XE60_I_UTGB_PI09,UTE-TRI: temperatura bypass economizador alta pressão - medição principal caldeira 11,°C
11HAC50AA152XE61_I_UTGB_PI09,UTE-TRI: temperatura bypass economizador alta pressão - medição auxiliar caldeira 11,°C
11HAC50AA152XQ50_I_UTGB_PI09,UTE-TRI: percentual efetivo de abertura válvula controle bypass economizador alta pressão caldeira 11,%
11HAC50CF001XQ50_I_UTGB_PI09,UTE-TRI: pressão diferencial medidor vazão feedwater de alta pressão caldeira 11,mbar
11HAC50CP001XQ50_I_UTGB_PI09,UTE-TRI: pressão da água desmineralizada na entrada da caldeira da TG11,bar
11HAC50CT001XQ50_I_UTGB_PI09,UTE-TRI: Temperatura da agua na Entrada da Caldeira,°C
11HAC50DL101LL_I_UTGB_PI09,UTE-TRI: setpoint do limite inferior nível tambor alta pressão caldeira 11,mm
11HAC50DL101UL_I_UTGB_PI09,UTE-TRI: setpoint do limite superior nível tambor alta pressão caldeira 11,mm
11HAC50DL101XE04_I_UTGB_PI09,UTE-TRI: setpoint efetivo nível tambor alta pressão caldeira 11,mm
11HAC50DL101XE60_I_UTGB_PI09,UTE-TRI: setpoint nível tambor alta pressão - medição principal caldeira 11,mm
11HAC50DL101XE61_I_UTGB_PI09,UTE-TRI: setpoint nível tambor alta pressão - medição auxiliar caldeira 11,mm
11HAC50FF001XJ60_I_UTGB_PI09,UTE-TRI: vazão mássica instantânea água desmineralizada na entrada seção HP HRSG 11HAH,kg/s
11HAC51AA151LL_I_UTGB_PI09,UTE-TRI: percentual de abertura válvula feedwater alta pressão - limite inferior caldeira 11,%
11HAC51AA151UL_I_UTGB_PI09,UTE-TRI: percentual de abertura válvula feedwater alta pressão - limite superior caldeira 11,%
11HAC51AA151XE04_I_UTGB_PI09,UTE-TRI: percentual comandado de abertura válvula feedwater alta pressão caldeira 11,%
11HAC51AA151XE05_I_UTGB_PI09,UTE-TRI: percentual de abertura válvula feedwater alta pressão em automático caldeira 11,%
11HAC51AA151XE60_I_UTGB_PI09,UTE-TRI: nível do tanque feedwater - medição principal caldeira 11,mm
11HAC51AA151XE61_I_UTGB_PI09,UTE-TRI: nível do tanque feedwater - medição auxiliar caldeira 11,mm
11HAC51AA151XQ50_I_UTGB_PI09,UTE-TRI: percentual efetivo de abertura válvula feedwater alta pressão caldeira 11,%
11HAC51AA152LL_I_UTGB_PI09,UTE-TRI: percentual abertura válvula interligação feedwater com tambor alta pressão - limite inferior caldeira 11,%
11HAC51AA152UL_I_UTGB_PI09,UTE-TRI: percentual abertura válvula interligação feedwater com tambor alta pressão - limite superior caldeira 11,%
11HAC51AA152XE04_I_UTGB_PI09,UTE-TRI: percentual comandado abertura válvula interligação feedwater com o tambor de alta pressão caldeira 11,%
11HAC51AA152XE05_I_UTGB_PI09,UTE-TRI: percentual de abertura válvula interligação feedwater com o tambor de alta pressãoem automático caldeira 11,%
11HAC51AA152XE60_I_UTGB_PI09,UTE-TRI: pressão interligação feedwater com tambor de alta pressão - medição principal caldeira 11,bar
11HAC51AA152XE61_I_UTGB_PI09,UTE-TRI: pressão interligação feedwater com tambor de alta pressão - medição auxiliar caldeira 11,bar
11HAC51AA152XQ50_I_UTGB_PI09,UTE-TRI: percentual efetivo válvula interligação feedwater com tambor alta pressão caldeira 11,%
11HAC51CT001XQ50_I_UTGB_PI09,UTE-TRI: Temperatura da agua na Saida do Economizador 2 / ag. de atemperação do SUP 1,°C
11HAC55AA051XL01_I_UTGB_PI09,UTE-TRI: hp desuphtr w isov-cntr opn,none
11HAC55AA151LL_I_UTGB_PI09,UTE-TRI: percentual abertura válvula controle dessuperaquecedor água - limite inferior caldeira 11,%
11HAC55AA151UL_I_UTGB_PI09,UTE-TRI: percentual abertura válvula controle dessuperaquecedor água - limite superior caldeira 11,%
11HAC55AA151XE04_I_UTGB_PI09,UTE-TRI: percentual comandado de abertura válvula controle dessuperaquecedor água caldeira 11,%
11HAC55AA151XE05_I_UTGB_PI09,UTE-TRI: percentual abertura válvula controle dessuperaquecedor água em automático caldeira 11,%
11HAC55AA151XE60_I_UTGB_PI09,UTE-TRI: tenperatura dessuperaquecedor água - medição principal caldeira 11,°C
11HAC55AA151XE61_I_UTGB_PI09,UTE-TRI: tenperatura dessuperaquecedor água - medição auxiliar caldeira 11,°C
11HAC55AA151XQ50_I_UTGB_PI09,UTE-TRI: percentual efetivo de abertura válvula controle dessuperaquecedor água caldeira 11,%
11HAC55CF001XQ50_I_UTGB_PI09,UTE-TRI: pressão diferencial medidor vazão água desuperaquecedor alta pressão caldeira 11,mbar
11HAC55FF001XJ60_I_UTGB_PI09,UTE-TRI: Vazão de agua de alimentação para atemperar o vapor de saida do SUP 1,kg/s
11HAD50AA213XL01_I_UTGB_PI09,UTE-TRI: totalizador abertura válvula dreno blowdown dreno contínuo caldeira 11,none
11HAD50AA215XL01_I_UTGB_PI09,UTE-TRI: totalizador abertura válvula dreno blowdown dreno intermitente caldeira 11,none
11HAD50AA216XL01_I_UTGB_PI09,UTE-TRI: totalizador abertura válvula bypass blowdown dreno intermitente caldeira 11,none
11HAD50CF001XQ50_I_UTGB_PI09,UTE-TRI: pressão diferencial medidor de vazão de circulação tambor alta pressão caldeira 11 - canal 1,mbar
11HAD50CF002XQ50_I_UTGB_PI09,UTE-TRI: pressão diferencial medidor de vazão de circulação tambor alta pressão caldeira 11 - canal 2,mbar
11HAD50CF003XQ50_I_UTGB_PI09,UTE-TRI: pressão diferencial medidor vazão água tambor alta pressão para ejetor 2 caldeira 11,mbar
11HAD50CF004XQ50_I_UTGB_PI09,UTE-TRI: pressão diferencial medidor vazão água tambor alta pressão para ejetor 1 caldeira 11,mbar
11HAD50CL001XQ50_I_UTGB_PI09,UTE-TRI: nível tambor alta pressão caldeira 11 - canal 1,mm
11HAD50CL002XQ50_I_UTGB_PI09,UTE-TRI: nível tambor alta pressão caldeira 11 - canal 2,mm
11HAD50CL003XQ50_I_UTGB_PI09,UTE-TRI: nível tambor alta pressão caldeira 11 - canal 3,mm
11HAD50CP001XQ50_I_UTGB_PI09,UTE-TRI: Pressão no Tubulão de Alta Pressão,bar
11HAD50CP002XQ50_I_UTGB_PI09,UTE-TRI: Pressão no Tubulão de Alta Pressão,bar
11HAD50CP011XQ50_I_UTGB_PI09,UTE-TRI: pressão diferencial do ejetor 1 de alta pressão caldeira 11,bar
11HAD50CP012XQ50_I_UTGB_PI09,UTE-TRI: pressão diferencial do ejetor 2 de alta pressão caldeira 11,bar
11HAD50CP013XQ50_I_UTGB_PI09,UTE-TRI: pressão selo mecânco alta pressão caldeira 11,bar
11HAD50CP901XJ60_I_UTGB_PI09,UTE-TRI: pressão tambor alta pressão 1/2 caldeira 11,bar
11HAD50CT002XQ50_I_UTGB_PI09,UTE-TRI: Temperatura no Tubulão de Alta Pressão,°C
11HAD50CT010XQ50_I_UTGB_PI09,UTE-TRI: temperatura selo mecânico alta pressão caldeira 11 - canal 1,°C
11HAD50CT011XQ50_I_UTGB_PI09,UTE-TRI: temperatura selo mecânico alta pressão caldeira 11 - canal 2,°C
11HAD50FF001XJ60_I_UTGB_PI09,UTE-TRI: vazão mássica vapor alta pressão caldeira 11 - canal 1,kg/s
11HAD50FF002XJ60_I_UTGB_PI09,UTE-TRI: vazão mássica vapor alta pressão caldeira 11 - canal 2,kg/s
11HAD50FF003XJ60_I_UTGB_PI09,UTE-TRI: vazão mássica do ejetor de entrada tambor 1 alta pressão caldeira 11 - canal 1,kg/s
11HAD50FF004XJ60_I_UTGB_PI09,UTE-TRI: vazão mássica do ejetor de entrada tambor 1 alta pressão caldeira 11 - canal 2,kg/s
11HAD50FL001XJ60_I_UTGB_PI09,UTE-TRI: Nivel no Tubulão de Alta Pressão,mm
11HAD50FL002XJ60_I_UTGB_PI09,UTE-TRI: Nivel no Tubulão de Alta Pressão,mm
11HAD50FL003XJ60_I_UTGB_PI09,UTE-TRI: Nivel no Tubulão de Alta Pressão,mm
11HAD50FL901XJ60_I_UTGB_PI09,UTE-TRI: nível tambor de alta pressão caldeira 11 - votação 2 de 3,mm
11HAH50AA202LL_I_UTGB_PI09,UTE-TRI: percentual abertura válvula entrada dreno 1 superaquecedor de alta pressão 1 - limite inferior caldeira 11,%
11HAH50AA202UL_I_UTGB_PI09,UTE-TRI: percentual abertura válvula entrada dreno 1 superaquecedor de alta pressão 1 - limite superior caldeira 11,%
11HAH50AA202XE04_I_UTGB_PI09,UTE-TRI: percentual comandado abertura válvula entrada dreno 1 superaquecedor de alta pressão 1 caldeira 11,%
11HAH50AA202XE05_I_UTGB_PI09,UTE-TRI: percentual abertura válvula entrada dreno 1 superaquecedor de alta pressão 1 em automático caldeira 11,%
11HAH50AA202XE60_I_UTGB_PI09,UTE-TRI: percentual abertura válvula entrada dreno 1 superaquecedor de alta pressão 1 - medição principal caldeira 11,%
11HAH50AA202XE61_I_UTGB_PI09,UTE-TRI: percentual abertura válvula entrada dreno 1 superaquecedor de alta pressão 1 - medição auxiliar caldeira 11,%
11HAH50AA204LL_I_UTGB_PI09,UTE-TRI: percentual abertura válvula entrada dreno 2 superaquecedor de alta pressão 1 - limite inferior caldeira 11,%
11HAH50AA204UL_I_UTGB_PI09,UTE-TRI: percentual abertura válvula entrada dreno 2 superaquecedor de alta pressão 1 - limite superior caldeira 11,%
11HAH50AA204XE04_I_UTGB_PI09,UTE-TRI: percentual comandado abertura válvula entrada dreno 2 superaquecedor de alta pressão 1 caldeira 11,%
11HAH50AA204XE05_I_UTGB_PI09,UTE-TRI: percentual abertura válvula entrada dreno 2 superaquecedor de alta pressão 1 em automático caldeira 11,%
11HAH50AA204XE60_I_UTGB_PI09,UTE-TRI: percentual abertura válvula entrada dreno 2 superaquecedor de alta pressão 1 - medição principal caldeira 11,%
11HAH50AA204XE61_I_UTGB_PI09,UTE-TRI: percentual abertura válvula entrada dreno 2 superaquecedor de alta pressão 1 - medição auxiliar caldeira 11,%
11HAH50AA253XL01_I_UTGB_PI09,UTE-TRI: hp drm vent isov-cntr opn,none
11HAH50CT001XQ50_I_UTGB_PI09,UTE-TRI: Temperatura do Vapor na Saida do Superaquecedor 1,°C
11HAH50CT002XQ50_I_UTGB_PI09,UTE-TRI: Temperatura do Vapor na Saida do Superaquecedor 1,°C
11HAH50CT901XJ60_I_UTGB_PI09,UTE-TRI: temperatura vapor alta pressão superaquecido caldeira 11 - votação 1 de 2,°C
11HAH51AA202LL_I_UTGB_PI09,UTE-TRI: percentual abertura válvula entrada dreno superaquecedor de alta pressão 2 - limite inferior caldeira 11,%
11HAH51AA202UL_I_UTGB_PI09,UTE-TRI: percentual abertura válvula entrada dreno superaquecedor de alta pressão 2 - limite superior caldeira 11,%
11HAH51AA202XE04_I_UTGB_PI09,UTE-TRI: percentual comandado abertura válvula entrada dreno superaquecedor de alta pressão 2 caldeira 11,%
11HAH51AA202XE05_I_UTGB_PI09,UTE-TRI: percentual abertura válvula entrada dreno superaquecedor de alta pressão 2 em automático caldeira 11,%
11HAH51AA202XE60_I_UTGB_PI09,UTE-TRI: percentual abertura válvula entrada dreno superaquecedor de alta pressão 2 - medição principal caldeira 11,%
11HAH51AA202XE61_I_UTGB_PI09,UTE-TRI: percentual abertura válvula entrada dreno superaquecedor de alta pressão 2 - medição auxiliar caldeira 11,%
11HAH51CL001XQ50_I_UTGB_PI09,UTE-TRI: nível percentual dreno vapor alta pressão caldeira 11,mm
11HAH51CT001XQ50_I_UTGB_PI09,UTE-TRI: Temperatura do Vapor na Entrada do Superaquecedor 2,°C
11HAH51CT002XQ50_I_UTGB_PI09,UTE-TRI: Temperatura do Vapor na Entrada do Superaquecedor 2,°C
11HAH51CT901XJ60_I_UTGB_PI09,UTE-TRI: temperatura desuperaquecedor vapor alta pressão caldeira 11 - votação 1 de 2,°C
11HAH52AA202LL_I_UTGB_PI09,UTE-TRI: percentual abertura válvula saída dreno superaquecedor de alta pressão 2 - limite inferior caldeira 11,%
11HAH52AA202UL_I_UTGB_PI09,UTE-TRI: percentual abertura válvula saída dreno superaquecedor de alta pressão 2 - limite superior caldeira 11,%
11HAH52AA202XE04_I_UTGB_PI09,UTE-TRI: percentual comandado abertura válvula saída dreno superaquecedor de alta pressão 2 caldeira 11,%
11HAH52AA202XE05_I_UTGB_PI09,UTE-TRI: percentual abertura válvula saída dreno superaquecedor de alta pressão 2 em automático caldeira 11,%
11HAH52AA202XE60_I_UTGB_PI09,UTE-TRI: percentual abertura válvula saída dreno superaquecedor de alta pressão 2 - medição principal caldeira 11,%
11HAH52AA202XE61_I_UTGB_PI09,UTE-TRI: percentual abertura válvula saída dreno superaquecedor de alta pressão 2 - medição auxiliar caldeira 11,%
11HAH52AA202XL01_I_UTGB_PI09,UTE-TRI: hp2 suphtr out dr-cntr opn,none
11HAH52AA252LL_I_UTGB_PI09,UTE-TRI: percentual abertura válvula vent vapor alta pressão - limite inferior caldeira 11,%
11HAH52AA252UL_I_UTGB_PI09,UTE-TRI: percentual abertura válvula vent vapor alta pressão - limite superior caldeira 11,%
11HAH52AA252XE04_I_UTGB_PI09,UTE-TRI: percentual efetivo abertura válvula vent vapor alta pressão caldeira 11,%
11HAH52AA252XE05_I_UTGB_PI09,UTE-TRI: percentual abertura válvula vent vapor alta pressão em automático caldeira 11,%
11HAH52AA252XE60_I_UTGB_PI09,UTE-TRI: percentual abertura válvula vent vapor alta pressão - medição principal caldeira 11,%
11HAH52AA252XE61_I_UTGB_PI09,UTE-TRI: percentual abertura válvula vent vapor alta pressão - medição auxiliar caldeira 11,%
11HAH52CF001XQ50_I_UTGB_PI09,UTE-TRI: pressão diferencial medidor vazão vapor alta pressão caldeira 11,mbar
11HAH52CP001XQ50_I_UTGB_PI09,UTE-TRI: Pressão de Vapor na Saida da Caldeira,bar
11HAH52CT001XQ50_I_UTGB_PI09,UTE-TRI: Temperatura de Vapor na Saida da Caldeira,°C
11HAH52CT002XQ50_I_UTGB_PI09,UTE-TRI: Temperatura de Vapor na Saida da Caldeira,°C
11HAH52CT003XQ50_I_UTGB_PI09,UTE-TRI: Temperatura de Vapor na Saida da Caldeira,°C
11HAH52CT901XJ60_I_UTGB_PI09,UTE-TRI: temperatura do vapor de alta pressão (média 2 de 3) caldeira 11,°C
11HAH52FF001XJ60_I_UTGB_PI09,UTE-TRI: vazão mássica instantânea vapor na saída HRSG 11HAH,kg/s
11HAX10CP202XH02_I_UTGB_PI09,UTE-TRI: status baixa pressão ar de instrumento HRSG 11HAH,none
11HAX10CP202XQ50_I_UTGB_PI09,UTE-TRI: pressão ar de instrumento HRSG 11HAH,bar
11HBK10CP001XQ50_I_UTGB_PI09,UTE-TRI: Pressão de Exaustão dos Gases da Turbina a Gas,mbar
11HBK10CT010XQ50_I_UTGB_PI09,UTE-TRI: temperatura costado HRSG 11HAH : dentro da faixa : medição 01,°C
11HBK10CT010XU01_I_UTGB_PI09,UTE-TRI: status temperatura costado HRSG 11HAH : dentro da faixa : medição 01,none
11HBK10CT011XQ50_I_UTGB_PI09,UTE-TRI: temperatura costado HRSG 11HAH : dentro da faixa : medição 02,°C
11HBK10CT011XU01_I_UTGB_PI09,UTE-TRI: status temperatura costado HRSG 11HAH : dentro da faixa : medição 02,none
11HBK10CT012XQ50_I_UTGB_PI09,UTE-TRI: temperatura costado HRSG 11HAH : dentro da faixa : medição 03,°C
11HBK10CT012XU01_I_UTGB_PI09,UTE-TRI: status temperatura costado HRSG 11HAH : dentro da faixa : medição 03,none
11HBK10CT013XQ50_I_UTGB_PI09,UTE-TRI: temperatura costado HRSG 11HAH : dentro da faixa : medição 04,°C
11HBK10CT013XU01_I_UTGB_PI09,UTE-TRI: status temperatura costado HRSG 11HAH : dentro da faixa : medição 04,none
11HBK10CT014XQ50_I_UTGB_PI09,UTE-TRI: temperatura costado HRSG 11HAH : dentro da faixa : medição 05,°C
11HBK10CT014XU01_I_UTGB_PI09,UTE-TRI: status temperatura costado HRSG 11HAH : dentro da faixa : medição 05,none
11HBK10CT015XQ50_I_UTGB_PI09,UTE-TRI: temperatura costado HRSG 11HAH : dentro da faixa : medição 06,°C
11HBK10CT015XU01_I_UTGB_PI09,UTE-TRI: status temperatura costado HRSG 11HAH : dentro da faixa : medição 06,none
11HBK10CT016XQ50_I_UTGB_PI09,UTE-TRI: temperatura costado HRSG 11HAH : dentro da faixa : medição 07,°C
11HBK10CT016XU01_I_UTGB_PI09,UTE-TRI: status temperatura costado HRSG 11HAH : dentro da faixa : medição 07,none
11HBK10CT017XQ50_I_UTGB_PI09,UTE-TRI: temperatura costado HRSG 11HAH : dentro da faixa : medição 08,°C
11HBK10CT017XU01_I_UTGB_PI09,UTE-TRI: status temperatura costado HRSG 11HAH : dentro da faixa : medição 08,none
11HBK10CT018XQ50_I_UTGB_PI09,UTE-TRI: temperatura costado HRSG 11HAH : dentro da faixa : medição 09,°C
11HBK10CT018XU01_I_UTGB_PI09,UTE-TRI: status temperatura costado HRSG 11HAH : dentro da faixa : medição 09,none
11HBK10CT019XQ50_I_UTGB_PI09,UTE-TRI: temperatura costado HRSG 11HAH : dentro da faixa : medição 10,°C
11HBK10CT019XU01_I_UTGB_PI09,UTE-TRI: status temperatura costado HRSG 11HAH : dentro da faixa : medição 10,none
11HBK10CT020XQ50_I_UTGB_PI09,UTE-TRI: temperatura costado HRSG 11HAH : dentro da faixa : medição 11,°C
11HBK10CT020XU01_I_UTGB_PI09,UTE-TRI: status temperatura costado HRSG 11HAH : dentro da faixa : medição 11,none
11HBK10CT021XQ50_I_UTGB_PI09,UTE-TRI: temperatura costado HRSG 11HAH : dentro da faixa : medição 12,°C
11HBK10CT021XU01_I_UTGB_PI09,UTE-TRI: status temperatura costado HRSG 11HAH : dentro da faixa : medição 12,none
11HBK10CT022XQ50_I_UTGB_PI09,UTE-TRI: temperatura costado HRSG 11HAH : dentro da faixa : medição 13,°C
11HBK10CT022XU01_I_UTGB_PI09,UTE-TRI: status temperatura costado HRSG 11HAH : dentro da faixa : medição 13,none
11HBK10CT023XQ50_I_UTGB_PI09,UTE-TRI: temperatura costado HRSG 11HAH : dentro da faixa : medição 14,°C
11HBK10CT023XU01_I_UTGB_PI09,UTE-TRI: status temperatura costado HRSG 11HAH : dentro da faixa : medição 14,none
